                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73892,                 1.3127,                 1.3865,                0.57196,                0.80696,                 0.7062,                0.59696,                0.67266,                 1.4958,                 1.4693,               0.008317,               0.008317,               0.008317
                     36,                0.73178,                 1.2934,                 1.3644,                0.63716,                0.76962,                0.72011,                0.62684,                0.57648,                  1.199,                 1.3427,              0.0082675,              0.0082675,              0.0082675
                     37,                0.72089,                 1.2507,                 1.3641,                0.55304,                0.82129,                0.69425,                0.61812,                0.54372,                 1.2074,                 1.3107,               0.008218,               0.008218,               0.008218
                     38,                0.71669,                 1.3135,                 1.3737,                0.63536,                0.71015,                0.68863,                0.60425,                0.54515,                 1.2158,                  1.306,              0.0081685,              0.0081685,              0.0081685
                     39,                0.68532,                 1.2738,                 1.3343,                0.57114,                0.70057,                0.64754,                0.57784,                0.51565,                 1.3498,                 1.2574,               0.008119,               0.008119,               0.008119
                     40,                0.67019,                 1.2824,                 1.3291,                 0.6058,                0.82779,                0.72401,                0.63663,                0.52681,                 1.2822,                 1.2741,              0.0080695,              0.0080695,              0.0080695
                     41,                0.69686,                 1.2407,                 1.3493,                0.56547,                0.85163,                0.72116,                0.62701,                0.57848,                 1.3794,                  1.333,                0.00802,                0.00802,                0.00802
                     42,                 0.6786,                 1.2531,                 1.3281,                 0.5622,                0.82724,                0.70758,                 0.6272,                0.52147,                 1.3739,                  1.261,              0.0079705,              0.0079705,              0.0079705
                     43,                0.67207,                 1.1727,                 1.3115,                 0.6633,                0.70675,                0.74136,                0.64318,                0.57764,                 1.2299,                 1.3503,               0.007921,               0.007921,               0.007921
                     44,                0.66868,                 1.2202,                 1.2852,                0.61974,                 0.7079,                0.64647,                0.57667,                0.49962,                 1.3151,                 1.2241,              0.0078715,              0.0078715,              0.0078715
                     45,                0.65581,                 1.2461,                 1.3099,                0.64735,                0.80649,                0.76303,                0.68608,                0.47737,                 1.3127,                 1.1987,               0.007822,               0.007822,               0.007822
                     46,                0.65074,                 1.2078,                 1.2881,                0.61989,                0.77456,                0.72067,                0.64636,                0.49843,                 1.6672,                 1.2282,              0.0077725,              0.0077725,              0.0077725
                     47,                0.65072,                 1.1899,                  1.299,                0.60741,                0.84464,                0.75855,                0.65573,                0.59174,                 1.2826,                 1.3408,               0.007723,               0.007723,               0.007723
                     48,                0.64035,                 1.2008,                 1.2644,                0.62479,                 0.8066,                0.74222,                 0.6633,                0.47598,                 1.0862,                 1.1962,              0.0076735,              0.0076735,              0.0076735
                     49,                0.63791,                 1.2203,                 1.2761,                0.67249,                0.86313,                0.77376,                 0.6962,                0.46134,                 1.0994,                 1.1758,               0.007624,               0.007624,               0.007624
                     50,                0.62319,                 1.1801,                 1.2438,                0.67326,                0.78666,                0.75251,                0.67172,                0.47044,                 1.0982,                 1.1877,              0.0075745,              0.0075745,              0.0075745
                     51,                0.61893,                 1.1623,                 1.2522,                0.64391,                0.79415,                0.75901,                 0.6738,                0.49382,                 1.0625,                 1.2186,               0.007525,               0.007525,               0.007525
                     52,                0.62233,                 1.1798,                 1.2619,                0.65183,                0.78606,                0.73125,                0.64526,                0.53855,                 1.1973,                 1.2558,              0.0074755,              0.0074755,              0.0074755
                     53,                0.64383,                 1.1374,                 1.2667,                0.69823,                0.78777,                0.79012,                0.71605,                0.45154,                0.97928,                 1.1516,               0.007426,               0.007426,               0.007426
                     54,                0.63114,                 1.1329,                 1.2673,                0.62871,                0.83765,                0.80733,                0.73018,                0.46324,                 1.0622,                 1.1602,              0.0073765,              0.0073765,              0.0073765
                     55,                0.59332,                  1.146,                 1.2247,                0.65344,                0.78809,                0.77217,                 0.6964,                0.46181,                0.99449,                 1.1695,               0.007327,               0.007327,               0.007327
                     56,                 0.5951,                 1.1443,                  1.221,                0.50637,                0.82298,                0.60732,                0.54555,                 0.4676,                 1.6248,                 1.1777,              0.0072775,              0.0072775,              0.0072775
                     57,                0.59393,                 1.0909,                 1.2242,                0.53801,                0.85719,                 0.6851,                 0.6265,                0.43935,                 1.3042,                 1.1324,               0.007228,               0.007228,               0.007228
                     58,                0.57537,                 1.1169,                 1.2112,                 0.5755,                0.85118,                0.72672,                0.66113,                0.45117,                 1.2952,                 1.1479,              0.0071785,              0.0071785,              0.0071785
                     59,                0.58619,                 1.1012,                 1.2013,                0.66212,                0.80017,                0.78519,                0.70428,                0.47624,                 1.0034,                 1.1845,               0.007129,               0.007129,               0.007129
                     60,                0.60897,                 1.1241,                 1.2324,                0.58981,                0.85074,                0.72074,                0.64719,                  0.442,                 1.1331,                 1.1434,              0.0070795,              0.0070795,              0.0070795
                     61,                0.56611,                  1.069,                  1.205,                0.65981,                0.80837,                0.79195,                0.72186,                 0.4336,                 0.9773,                 1.1301,                0.00703,                0.00703,                0.00703
                     62,                0.58848,                 1.0592,                 1.2025,                 0.6965,                0.82634,                0.77888,                0.70688,                0.43634,                0.96235,                 1.1228,              0.0069805,              0.0069805,              0.0069805
                     63,                0.58658,                 1.0224,                 1.2079,                0.72322,                0.79903,                0.81266,                0.72824,                0.46078,                0.95669,                 1.1545,               0.006931,               0.006931,               0.006931
                     64,                0.57922,                 1.0525,                 1.2094,                0.66446,                0.81566,                0.79987,                 0.7189,                0.46658,                 1.0691,                 1.1683,              0.0068815,              0.0068815,              0.0068815
                     65,                0.57178,                 1.0386,                  1.194,                0.60334,                0.83949,                0.73395,                0.67066,                0.42937,                  1.127,                 1.1116,               0.006832,               0.006832,               0.006832
                     66,                0.56886,                 1.0332,                 1.1942,                0.66288,                0.80014,                0.79931,                0.73061,                0.42361,                0.96536,                 1.1168,              0.0067825,              0.0067825,              0.0067825
                     67,                0.55447,                  1.054,                 1.1827,                0.54741,                0.80343,                0.71652,                0.65013,                 0.4413,                 1.1997,                 1.1355,               0.006733,               0.006733,               0.006733
                     68,                0.57392,                 1.0279,                 1.2044,                0.59577,                0.76223,                0.70916,                0.64546,                0.42765,                 1.1189,                  1.116,              0.0066835,              0.0066835,              0.0066835
                     69,                0.55236,                 1.0476,                 1.1757,                0.64442,                0.84011,                0.79659,                0.72841,                0.43247,                0.94913,                 1.1178,               0.006634,               0.006634,               0.006634
                     70,                0.56454,                0.99251,                 1.1818,                0.67642,                 0.8333,                0.80017,                0.73276,                0.42339,                0.92415,                 1.1087,              0.0065845,              0.0065845,              0.0065845
                     71,                0.55839,                 1.0385,                 1.1923,                0.74388,                 0.8052,                0.82879,                0.74782,                0.47064,                0.88182,                 1.1689,               0.006535,               0.006535,               0.006535
                     72,                0.55912,                 1.0288,                 1.1825,                 0.6698,                0.85134,                0.83302,                0.75671,                0.43833,                0.89505,                 1.1266,              0.0064855,              0.0064855,              0.0064855
                     73,                0.55505,                 1.0076,                 1.1767,                0.68319,                0.83616,                0.78329,                0.72208,                   0.42,                0.92522,                  1.098,               0.006436,               0.006436,               0.006436
                     74,                0.54097,                0.98971,                 1.1759,                0.61957,                0.79458,                0.74692,                0.68329,                0.42601,                  1.122,                  1.104,              0.0063865,              0.0063865,              0.0063865
                     75,                0.56071,                0.99408,                 1.1687,                0.60314,                0.84163,                0.74532,                0.68259,                0.42945,                 1.1011,                 1.1087,               0.006337,               0.006337,               0.006337
                     76,                0.54327,                 1.0105,                 1.1466,                0.67133,                0.83425,                0.78292,                0.72186,                0.41084,                0.94354,                 1.0938,              0.0062875,              0.0062875,              0.0062875
                     77,                0.53974,                 1.0146,                 1.1662,                0.68969,                0.82278,                0.77929,                 0.7124,                0.41681,                0.91721,                 1.0988,               0.006238,               0.006238,               0.006238
                     78,                0.54498,                0.97498,                  1.164,                0.69048,                0.80628,                0.81117,                0.74474,                0.42737,                 0.9238,                 1.1123,              0.0061885,              0.0061885,              0.0061885
                     79,                0.53527,                 1.0225,                 1.1483,                0.67309,                0.83394,                0.77961,                0.71565,                0.40997,                0.94975,                 1.0876,               0.006139,               0.006139,               0.006139
                     80,                0.53316,                0.97286,                 1.1616,                0.62015,                  0.817,                0.76519,                0.69437,                0.44599,                 1.0883,                 1.1336,              0.0060895,              0.0060895,              0.0060895
                     81,                 0.5491,                 1.0075,                 1.1715,                0.70164,                0.86874,                0.81689,                0.74801,                0.41538,                0.87214,                 1.0945,                0.00604,                0.00604,                0.00604
                     82,                0.52667,                0.96271,                 1.1367,                0.63635,                0.87919,                0.79683,                0.73165,                0.41735,                 0.9024,                 1.1011,              0.0059905,              0.0059905,              0.0059905
                     83,                0.54996,                0.98277,                  1.173,                0.58898,                0.87184,                0.74675,                 0.6875,                0.41549,                 1.0604,                 1.0972,               0.005941,               0.005941,               0.005941
                     84,                0.52894,                0.97037,                 1.1472,                0.76352,                0.76549,                  0.817,                0.74977,                0.41309,                0.87289,                  1.092,              0.0058915,              0.0058915,              0.0058915
                     85,                0.53119,                0.96829,                 1.1384,                0.73016,                0.79727,                0.81918,                0.75648,                 0.4155,                0.86518,                 1.0973,               0.005842,               0.005842,               0.005842
                     86,                0.52289,                0.96561,                 1.1514,                0.67626,                0.82847,                0.80337,                0.73789,                0.41766,                0.90724,                 1.0897,              0.0057925,              0.0057925,              0.0057925
                     87,                0.52731,                0.93416,                 1.1544,                0.71433,                0.82551,                0.81912,                0.75785,                0.39728,                0.85486,                 1.0712,               0.005743,               0.005743,               0.005743
                     88,                0.54013,                0.93316,                 1.1579,                0.71519,                0.81586,                0.81125,                0.74353,                0.41024,                0.84695,                 1.0888,              0.0056935,              0.0056935,              0.0056935
                     89,                0.52285,                0.93234,                 1.1383,                0.70781,                0.81369,                 0.8218,                0.75615,                0.41685,                0.86014,                 1.0943,               0.005644,               0.005644,               0.005644
                     90,                 0.5071,                0.94641,                  1.129,                 0.7062,                 0.8342,                0.82873,                0.76483,                0.40601,                0.88233,                 1.0783,              0.0055945,              0.0055945,              0.0055945
                     91,                0.51977,                0.95105,                 1.1372,                0.71465,                0.80402,                 0.8164,                0.74695,                 0.4134,                 0.8354,                 1.0878,               0.005545,               0.005545,               0.005545
                     92,                0.52556,                0.95036,                 1.1556,                0.68563,                0.85409,                0.80988,                0.74467,                0.41526,                0.88845,                 1.0946,              0.0054955,              0.0054955,              0.0054955
                     93,                0.51662,                0.95672,                 1.1346,                0.70235,                0.82711,                0.81008,                0.74448,                 0.4208,                0.89032,                 1.1003,               0.005446,               0.005446,               0.005446
                     94,                0.51835,                0.90398,                 1.1206,                0.67771,                0.82699,                0.80683,                0.73719,                0.42448,                0.87446,                 1.1076,              0.0053965,              0.0053965,              0.0053965
                     95,                0.51225,                0.90372,                  1.131,                0.68252,                0.86851,                0.81647,                0.74844,                0.41348,                0.84719,                 1.0907,               0.005347,               0.005347,               0.005347
                     96,                0.53171,                0.90806,                 1.1401,                0.68001,                0.84273,                0.81157,                0.74914,                0.39837,                 0.8354,                 1.0678,              0.0052975,              0.0052975,              0.0052975
                     97,                0.50212,                0.91171,                 1.1239,                0.64803,                0.87669,                0.81333,                0.74764,                0.41143,                0.86437,                 1.0884,               0.005248,               0.005248,               0.005248
                     98,                0.51084,                0.91346,                 1.1337,                0.68806,                 0.8432,                0.81265,                 0.7503,                0.39904,                0.82372,                 1.0737,              0.0051985,              0.0051985,              0.0051985
                     99,                0.50967,                0.91795,                 1.1226,                0.67824,                0.84987,                0.81242,                0.75371,                0.39938,                0.82326,                 1.0759,               0.005149,               0.005149,               0.005149
                    100,                0.50218,                0.93425,                 1.1085,                0.68562,                0.77947,                0.77817,                 0.7164,                0.40661,                0.89017,                 1.0821,              0.0050995,              0.0050995,              0.0050995
                    101,                0.51419,                0.91894,                 1.1277,                0.72374,                0.82225,                0.82781,                0.76312,                0.41058,                0.83519,                 1.0789,                0.00505,                0.00505,                0.00505
                    102,                0.51072,                 0.9176,                 1.1203,                0.66093,                0.81789,                0.78645,                0.72785,                 0.4121,                 0.8845,                 1.0758,              0.0050005,              0.0050005,              0.0050005
                    103,                0.49901,                0.91557,                  1.117,                0.68794,                0.76648,                0.78796,                0.72928,                0.39146,                0.91113,                 1.0592,               0.004951,               0.004951,               0.004951
                    104,                 0.4982,                 0.9145,                 1.1131,                0.71971,                0.80296,                0.81461,                0.75621,                0.39191,                0.85671,                 1.0626,              0.0049015,              0.0049015,              0.0049015
                    105,                0.50378,                0.91263,                 1.1301,                0.68126,                0.79903,                0.77748,                0.71912,                 0.3979,                0.90394,                 1.0679,               0.004852,               0.004852,               0.004852
                    106,                0.50784,                0.91877,                 1.1303,                0.68503,                 0.8545,                0.81216,                0.74562,                0.41496,                 0.8838,                 1.0893,              0.0048025,              0.0048025,              0.0048025
                    107,                0.49809,                0.88198,                 1.1066,                0.74897,                0.83322,                0.83208,                0.76543,                0.40198,                0.82502,                 1.0718,               0.004753,               0.004753,               0.004753
                    108,                0.49578,                0.89994,                 1.1126,                0.65371,                0.85381,                0.79709,                0.73853,                0.39532,                0.87973,                 1.0634,              0.0047035,              0.0047035,              0.0047035
                    109,                 0.4967,                 0.8793,                 1.1039,                0.65267,                 0.8448,                0.79916,                0.73671,                0.39972,                0.88473,                 1.0704,               0.004654,               0.004654,               0.004654
                    110,                0.49907,                0.90198,                 1.1061,                0.71981,                 0.8377,                0.82801,                0.76189,                0.41697,                0.80595,                 1.0868,              0.0046045,              0.0046045,              0.0046045
                    111,                0.49632,                0.91712,                 1.1022,                0.73871,                0.79722,                0.82963,                0.77341,                0.39465,                0.84317,                 1.0603,               0.004555,               0.004555,               0.004555
                    112,                0.47344,                0.89215,                 1.0981,                0.77181,                0.84993,                0.84574,                0.78793,                0.38617,                0.77195,                 1.0516,              0.0045055,              0.0045055,              0.0045055
                    113,                0.47957,                0.86752,                 1.1018,                0.62742,                0.85005,                 0.7741,                0.71529,                0.40594,                 1.0337,                 1.0808,               0.004456,               0.004456,               0.004456
                    114,                0.49572,                0.87836,                 1.1214,                0.59889,                0.84433,                0.76839,                0.70834,                0.39212,                0.91493,                 1.0545,              0.0044065,              0.0044065,              0.0044065
                    115,                0.48839,                0.87464,                 1.1062,                0.71032,                 0.8667,                0.82628,                0.76563,                0.39417,                0.78815,                 1.0647,               0.004357,               0.004357,               0.004357
                    116,                0.48362,                0.87539,                 1.1029,                0.71568,                0.79564,                0.80294,                0.73987,                0.40462,                0.85818,                 1.0773,              0.0043075,              0.0043075,              0.0043075
                    117,                0.49386,                0.87655,                 1.1002,                0.72141,                0.81158,                0.82967,                0.76741,                0.39676,                0.80582,                  1.068,               0.004258,               0.004258,               0.004258
                    118,                0.50261,                 0.8745,                 1.1021,                0.73178,                0.84162,                 0.8359,                0.77249,                0.38849,                0.79494,                 1.0604,              0.0042085,              0.0042085,              0.0042085
                    119,                0.49141,                0.90243,                  1.108,                0.71509,                0.83801,                0.81608,                0.75946,                0.38481,                0.81852,                 1.0539,               0.004159,               0.004159,               0.004159
                    120,                0.49132,                 0.8686,                 1.1012,                0.76946,                0.82396,                0.86344,                0.80299,                0.38703,                0.76528,                 1.0549,              0.0041095,              0.0041095,              0.0041095
                    121,                0.48255,                0.86894,                 1.0965,                0.71284,                0.86301,                0.82771,                0.76871,                0.39508,                0.81902,                   1.06,                0.00406,                0.00406,                0.00406
                    122,                0.48727,                 0.8744,                 1.1086,                0.68253,                0.80429,                0.77337,                 0.7189,                0.39095,                0.88716,                 1.0593,              0.0040105,              0.0040105,              0.0040105
                    123,                0.47913,                0.84786,                 1.0992,                0.68136,                0.83401,                 0.8098,                 0.7591,                0.38596,                0.82901,                 1.0546,               0.003961,               0.003961,               0.003961
                    124,                0.47892,                0.86809,                 1.0969,                0.73719,                0.85293,                0.82618,                 0.7726,                0.38912,                0.77767,                 1.0528,              0.0039115,              0.0039115,              0.0039115
                    125,                0.47419,                0.83718,                 1.0874,                0.72276,                0.82139,                 0.8211,                0.76425,                0.38979,                0.79608,                 1.0577,               0.003862,               0.003862,               0.003862
                    126,                0.48121,                0.86931,                 1.0981,                0.73933,                0.82257,                 0.8229,                0.76868,                0.38333,                0.80721,                 1.0491,              0.0038125,              0.0038125,              0.0038125
                    127,                0.47153,                0.82827,                  1.084,                0.75538,                0.83669,                0.84392,                0.78794,                 0.3807,                0.77294,                 1.0487,               0.003763,               0.003763,               0.003763
                    128,                0.48435,                0.84642,                 1.0875,                0.72336,                0.84641,                0.83651,                0.78237,                0.38621,                 0.8005,                 1.0518,              0.0037135,              0.0037135,              0.0037135
                    129,                0.46817,                0.84856,                 1.0962,                0.69458,                 0.8488,                0.81519,                0.76145,                0.38203,                0.79068,                 1.0492,               0.003664,               0.003664,               0.003664
                    130,                0.47382,                0.85055,                 1.0913,                0.72755,                0.82873,                0.81553,                0.76053,                0.39409,                0.81902,                 1.0614,              0.0036145,              0.0036145,              0.0036145
                    131,                0.47954,                0.85885,                 1.0974,                0.69637,                 0.8229,                0.80861,                0.76056,                0.38279,                0.85973,                 1.0477,               0.003565,               0.003565,               0.003565
                    132,                 0.4696,                0.87992,                 1.0879,                0.67945,                0.85901,                0.81325,                 0.7631,                0.38484,                0.84907,                 1.0555,              0.0035155,              0.0035155,              0.0035155
                    133,                0.47759,                0.84338,                 1.0798,                0.72077,                0.80192,                0.81159,                0.75563,                 0.3881,                0.83331,                  1.056,               0.003466,               0.003466,               0.003466
                    134,                0.47483,                0.84884,                 1.0914,                0.76224,                0.82713,                0.84752,                0.79162,                0.38805,                0.77327,                 1.0562,              0.0034165,              0.0034165,              0.0034165
