                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    157,                0.45222,                0.80788,                 1.0721,                 0.6935,                 0.8455,                 0.8249,                0.77196,                0.38039,                0.78868,                 1.0457,               0.002278,               0.002278,               0.002278
                    158,                0.45285,                0.80918,                 1.0725,                0.73315,                0.82055,                0.82545,                0.76587,                0.38595,                0.81761,                 1.0513,              0.0022285,              0.0022285,              0.0022285
                    159,                0.45189,                0.79728,                 1.0684,                0.75808,                0.81626,                0.83401,                0.78244,                 0.3789,                0.75764,                 1.0448,               0.002179,               0.002179,               0.002179
                    160,                0.46406,                0.81923,                 1.0736,                0.72262,                0.83959,                0.83885,                0.78411,                0.37851,                0.76569,                 1.0434,              0.0021295,              0.0021295,              0.0021295
                    161,                 0.4506,                0.80936,                 1.0748,                0.68247,                0.82587,                0.80951,                0.75731,                0.37806,                0.78952,                 1.0452,                0.00208,                0.00208,                0.00208
                    162,                0.45799,                0.80886,                 1.0768,                0.75267,                0.82446,                0.85396,                0.79719,                0.37724,                0.73109,                 1.0435,              0.0020305,              0.0020305,              0.0020305
                    163,                0.45479,                0.80829,                 1.0673,                0.72319,                0.83237,                0.84785,                0.79325,                0.37796,                0.74986,                 1.0439,               0.001981,               0.001981,               0.001981
                    164,                0.45166,                0.78449,                 1.0676,                0.73468,                0.82315,                0.84099,                0.78693,                0.38223,                0.77005,                 1.0454,              0.0019315,              0.0019315,              0.0019315
                    165,                0.45938,                0.80369,                 1.0736,                0.66165,                0.82749,                0.80564,                0.75616,                0.38257,                 0.8408,                 1.0449,               0.001882,               0.001882,               0.001882
                    166,                0.45838,                0.82005,                 1.0878,                0.69242,                0.87649,                0.82282,                0.76616,                0.38232,                0.78771,                 1.0467,              0.0018325,              0.0018325,              0.0018325
                    167,                0.46182,                 0.8093,                 1.0672,                0.72213,                0.84749,                0.83596,                0.78204,                0.37898,                 0.7593,                 1.0422,               0.001783,               0.001783,               0.001783
                    168,                0.45645,                0.80136,                 1.0756,                0.75472,                0.78879,                0.83829,                0.78342,                0.38144,                 0.7709,                 1.0468,              0.0017335,              0.0017335,              0.0017335
                    169,                0.45482,                0.78777,                 1.0741,                0.75288,                0.83695,                0.85086,                0.79731,                0.37753,                0.73971,                 1.0424,               0.001684,               0.001684,               0.001684
                    170,                0.45058,                0.79908,                 1.0634,                0.73826,                0.83638,                0.83619,                0.78066,                0.37117,                0.75389,                 1.0384,              0.0016345,              0.0016345,              0.0016345
                    171,                0.45547,                 0.7844,                 1.0572,                0.75773,                0.81968,                0.85018,                0.79069,                0.38875,                0.73978,                 1.0544,               0.001585,               0.001585,               0.001585
                    172,                0.44844,                0.78752,                 1.0641,                0.71056,                0.83255,                0.82994,                0.77373,                0.38044,                0.79155,                 1.0469,              0.0015355,              0.0015355,              0.0015355
                    173,                0.46305,                0.80076,                 1.0831,                0.70918,                0.82477,                0.82177,                0.76867,                0.37106,                0.82907,                  1.036,               0.001486,               0.001486,               0.001486
                    174,                0.45683,                0.78133,                 1.0702,                0.69591,                0.87053,                0.83691,                0.78428,                 0.3788,                0.75886,                 1.0429,              0.0014365,              0.0014365,              0.0014365
                    175,                0.45327,                0.78885,                 1.0686,                 0.7248,                0.87199,                0.84442,                0.78788,                0.37854,                0.73756,                 1.0443,               0.001387,               0.001387,               0.001387
                    176,                0.44684,                0.79965,                 1.0655,                0.70445,                0.86867,                0.83098,                0.78035,                0.37387,                0.76239,                 1.0414,              0.0013375,              0.0013375,              0.0013375
                    177,                 0.4486,                0.78707,                 1.0625,                0.72903,                0.85878,                0.86165,                0.80352,                0.39161,                0.73589,                 1.0607,               0.001288,               0.001288,               0.001288
                    178,                0.45408,                0.79744,                 1.0823,                0.74233,                0.84173,                0.85694,                0.80514,                0.37557,                0.74064,                 1.0429,              0.0012385,              0.0012385,              0.0012385
                    179,                0.44642,                0.79464,                 1.0645,                0.70461,                0.87911,                 0.8435,                0.79022,                0.37509,                0.73542,                 1.0432,               0.001189,               0.001189,               0.001189
                    180,                0.45557,                 0.8111,                 1.0825,                0.69166,                0.85701,                0.83517,                 0.7814,                0.37494,                0.76423,                 1.0395,              0.0011395,              0.0011395,              0.0011395
                    181,                0.44513,                0.78632,                 1.0535,                0.76403,                0.81525,                0.84935,                0.79386,                0.37836,                 0.7375,                 1.0427,                0.00109,                0.00109,                0.00109
                    182,                0.44495,                0.79656,                 1.0631,                 0.7234,                0.85416,                0.84597,                0.79254,                0.37565,                0.73789,                 1.0386,              0.0010405,              0.0010405,              0.0010405
                    183,                0.44311,                0.78895,                  1.068,                0.71312,                0.82574,                0.84657,                0.79642,                0.37319,                0.74731,                 1.0365,               0.000991,               0.000991,               0.000991
                    184,                0.44874,                0.77814,                 1.0678,                0.70714,                0.82608,                0.83249,                0.78072,                 0.3757,                0.77076,                 1.0404,              0.0009415,              0.0009415,              0.0009415
                    185,                0.44247,                0.78167,                 1.0668,                0.74512,                0.84116,                0.85967,                0.80676,                0.37314,                0.73339,                 1.0384,               0.000892,               0.000892,               0.000892
                    186,                0.44886,                 0.7853,                 1.0599,                0.74113,                0.84844,                0.85567,                0.80301,                0.37262,                0.72824,                 1.0369,              0.0008425,              0.0008425,              0.0008425
                    187,                0.45308,                0.79058,                 1.0655,                 0.7692,                0.80209,                0.86261,                0.80868,                0.37724,                0.72501,                 1.0426,               0.000793,               0.000793,               0.000793
                    188,                0.44804,                0.76523,                 1.0551,                0.77579,                0.81609,                0.86037,                0.80359,                0.38059,                0.72552,                 1.0466,              0.0007435,              0.0007435,              0.0007435
                    189,                0.44775,                0.77694,                  1.059,                0.75225,                0.80652,                0.85396,                0.79722,                0.37492,                0.74245,                 1.0404,               0.000694,               0.000694,               0.000694
                    190,                0.44869,                  0.772,                 1.0719,                0.71426,                0.88941,                0.85726,                0.80434,                0.37143,                0.72573,                 1.0355,              0.0006445,              0.0006445,              0.0006445
                    191,                0.44209,                0.77026,                 1.0646,                0.74131,                0.82593,                0.84798,                0.79402,                0.37144,                0.75387,                 1.0344,               0.000595,               0.000595,               0.000595
                    192,                0.45414,                0.77944,                 1.0668,                0.69204,                0.88141,                0.84521,                0.79322,                0.37739,                0.74216,                 1.0402,              0.0005455,              0.0005455,              0.0005455
                    193,                0.44804,                0.77485,                 1.0699,                0.69528,                0.86642,                0.82774,                0.77699,                0.37098,                0.75155,                 1.0346,               0.000496,               0.000496,               0.000496
                    194,                0.44527,                0.76543,                 1.0565,                0.70677,                0.82916,                0.83572,                 0.7819,                0.37408,                0.75174,                 1.0392,              0.0004465,              0.0004465,              0.0004465
                    195,                0.45198,                0.78945,                  1.071,                0.70395,                 0.8305,                0.82101,                0.77098,                0.37296,                0.79061,                 1.0382,               0.000397,               0.000397,               0.000397
                    196,                0.44414,                0.76837,                 1.0532,                 0.7425,                0.82379,                0.85412,                0.79973,                0.37088,                0.74139,                 1.0357,              0.0003475,              0.0003475,              0.0003475
                    197,                0.45118,                0.75872,                 1.0636,                0.72312,                0.87474,                 0.8525,                0.79977,                0.36962,                0.72723,                 1.0342,               0.000298,               0.000298,               0.000298
                    198,                0.43277,                0.76179,                 1.0612,                0.70366,                0.86307,                0.84906,                0.79692,                0.36882,                 0.7353,                 1.0325,              0.0002485,              0.0002485,              0.0002485
                    199,                0.44416,                0.77014,                 1.0628,                0.73663,                0.81937,                  0.852,                0.79899,                0.37209,                0.73247,                 1.0359,               0.000199,               0.000199,               0.000199
                    200,                0.44524,                0.76726,                  1.067,                0.72022,                0.84528,                0.85517,                0.80057,                0.37258,                0.73113,                 1.0375,              0.0001495,              0.0001495,              0.0001495
